"(PDH-CSV 4.0) (","\\LIVING1\Processor(_Total)\% User Time","\\LIVING1\Processor(_Total)\% Privileged Time","\\LIVING1\Processor(_Total)\% Interrupt Time","\\LIVING1\Processor(_Total)\% Idle Time","\\LIVING1\System\Processor Queue Length","\\LIVING1\System\Processes","\\LIVING1\System\Threads","\\LIVING1\Memory\Available Bytes","\\LIVING1\Memory\Committed Bytes","\\LIVING1\Memory\Page Faults/sec","\\LIVING1\Memory\Pages/sec"
"05/11/2015 00:03:16.943","0.85139765573164827","0.54179868861068903","0.077399245631229352","98.607272020323535","0","72","827","2149601280","1672925184","1372.1939176853882","0.19846599908669196"
"05/11/2015 00:03:21.982","2.2445919709318605","0.9287968829300115","0.077399244095167019","96.827073557006699","0","72","829","2147409920","1673146368","2697.7183959794288","0"
"05/11/2015 00:03:27.021","0.46439944297945979","0.46439745838341795","0","99.071669478706951","0","72","825","2149281792","1673379840","937.14648380800622","0"
"05/11/2015 00:03:32.044","1.0093209541813004","1.0093209541813004","0","97.981821938562021","0","72","827","2150412288","1672519680","916.1622054201091","0.19907914068233573"
"05/11/2015 00:03:37.083","0.54179868861068903","0.77399841010041892","0","98.684671265954762","0","72","827","2151051264","1671716864","1867.7388489895136","0"
"05/11/2015 00:03:42.137","0.30864341031055081","0.92593023093165261","0","98.765891299376278","0","72","834","2151325696","1672101888","1224.3069583113311","0.19785180321773288"
"05/11/2015 00:03:47.176","0.69659717987314784","0.77399642550437708","0.077401230227271176","98.529870790096268","0","72","835","2151317504","1671376896","1552.3731605312466","0"
"05/11/2015 00:03:52.230","0.23148305235059238","0.61728682062110163","0.077160357959958487","99.151695067646784","0","72","834","2152026112","1670742016","841.66450761732779","0.19785249356307658"
"05/11/2015 00:03:57.269","0.619197921953341","0.46439943376300702","0","98.916869024344223","0","72","833","2151936000","1670164480","996.07907648414596","0"
"05/11/2015 00:04:02.308","0.92879690136287774","0.77399642550437708","0","98.297671068606533","0","72","832","2151936000","1671249920","929.99773043380753","0.19846302399355689"
"05/11/2015 00:04:07.347","0.69659716604850808","0.46439943376300702","0","98.839467795653064","0","72","830","2152607744","1671716864","1598.6268369482914","0"
"05/11/2015 00:04:12.354","0.62305585851674361","0.46729089540700547","0","98.910118538013592","0","72","832","2151211008","1673064448","1359.96466100728","0"
"05/11/2015 00:04:17.377","0.54348129028600201","1.086962580572004","0.07763961553817951","98.370023957594597","0","72","834","2152607744","1672830976","1410.2863483225669","0.19908051218556846"
"05/11/2015 00:04:22.432","0.61728682062110163","0.54012646266114328","0","98.843051657336233","0","72","833","2152374272","1673322496","973.42241272898855","0"
"05/11/2015 00:04:27.471","0.30959896712095925","1.0835953926253366","0","98.607270035727495","0","72","830","2152501248","1672634368","873.2430722236362","0.19846433459628096"
"05/11/2015 00:04:32.494","0.93168135873627234","0.93168135873627234","0","98.137103120220686","0","72","828","2153660416","1671020544","1042.3779663162522","0"
"05/11/2015 00:04:37.517","0.77640012144428228","0.85404172619617713","0.077639613992561612","98.370021999284162","0","72","828","2154090496","1672429568","1786.7261741601892","0"
"05/11/2015 00:04:42.556","0.38700019734823038","0.69659717987314784","0","98.916870987444497","0","72","828","2154377216","1670594560","1403.7442640956433","0.198465186497334"
"05/11/2015 00:04:47.595","0.69659716604850808","0.69659716604850808","0.077401228691169457","98.607268078771554","0","72","829","2155352064","1674153984","1370.9895410424881","0"
"05/11/2015 00:04:52.649","0.46296413539007769","0.54012647334738728","0.077160359486553601","98.997376310360963","0","72","828","2155728896","1673195520","987.86020109577532","0.19784902885955843"
"05/11/2015 00:04:57.704","0.38580574674122625","0.46296610470118477","0","99.151695067646784","0","72","823","2156503040","1670156288","765.87873355631518","0"
"05/11/2015 00:05:02.758","1.0030905888916111","0.6944471785810602","0","98.302927173145804","0","72","824","2156470272","1670742016","927.13928736695971","0"
"05/11/2015 00:05:07.797","0.46439745838341795","0.69659717987314784","0","98.83946975721723","0","72","823","2156707840","1669627904","1781.7796146168662","0.19846063874101871"
"05/11/2015 00:05:12.820","0.54348127946659752","0.77640211220361555","0","98.680582446013744","0","72","821","2157056000","1670516736","1390.296699209553","0"
"05/11/2015 00:05:17.874","0.54012647334738728","0.77160755180704821","0.077160359486553601","98.688730915473243","0","72","823","2154692608","1673359360","1017.2214806883525","0.1978645167649003"
"05/11/2015 00:05:22.929","0.84876987297169415","0.54012646266114328","0","98.611570583456356","0","72","824","2155143168","1672695808","879.45068632691221","0"
"05/11/2015 00:05:27.968","0.38699820507183746","0.77399641014367493","0","98.839467795653064","0","72","821","2153627648","1674403840","949.2515899989005","0.19846363997468125"
"05/11/2015 00:05:33.006","1.3931943597462957","3.0185904255783629","0.077399245631229352","95.588681594745168","0","76","832","2140667904","1681633280","8009.169036156728","0.19846290604016076"
"05/11/2015 00:05:38.045","0.77399839473967746","0.619197921953341","0","98.607268078771554","0","76","831","2142601216","1682096128","2657.4325265091056","0"
